Категория;назва;наявність;код;опт;роздріб
Бойлы pop-up;            CZ Weekend Boilies, 16&20mm, meat mix, 10kg (мясная смесь);;CZ7108;28,40 EUR;1272,32
Бойлы pop-up;            Weekend boilies fruit mix 16+20 mm 2500 g (фруктовая смесь);;CZ6296;7,92 EUR;354,816
Бойлы pop-up;            Weekend boilies meat mix 16+20 mm 2500 g (мясная смесь);;CZ6302;6,92 EUR;310,016
Бойлы pop-up;            CZ High Protein Boilie Mix, 1 kg (насыщенная протеинами,белками бойловая смесь);6,000;CZ4856;2,39 EUR;107,072
Бойлы pop-up;            CZ Hand Made Boilies, 16mm, 400g, Power Gammarus (гаммарус-рак);319,000;CZ6354;1,65 EUR;73,92
Бойлы pop-up;            CZ Hand Made Boilies, 16mm, 400g, Power Pellets (микропеллетсы);151,000;CZ6347;1,65 EUR;73,92
Бойлы pop-up;            CZ Hand Made Boilies, 20mm, 400g, Power Gammarus (гаммарус-рак);;CZ9003;1,65 EUR;73,92
Бойлы pop-up;            CZ Hand Made Boilies, 20mm, 400g, Power Pellets (микропеллетсы);212,000;CZ8990;1,65 EUR;73,92
Бойлы pop-up;            CZ Hand Made Boilies, 28mm, 400g, Power Gammarus (гаммарус-рак);538,000;CZ9027;1,65 EUR;73,92
Бойлы pop-up;            CZ Hand Made Boilies, 28mm, 400g, Power Pellets (микропеллетсы);552,000;CZ9010;1,65 EUR;73,92
Бойлы pop-up;            CZ Spice Bomb Boilies, 16mm, 400g, Hot Bomb (вибух специ-бойлы);36,000;CZ6088;1,65 EUR;73,92
Бойлы pop-up;            CZ Spice Bomb Boilies, 20mm, 400g, Hot Bomb (вибух специ-бойлы);262,000;CZ8822;1,65 EUR;73,92
Бойлы pop-up;            CZ Spice Bomb Boilies, 28mm, 400g, Hot Bomb (вибух специ-бойлы);380,000;CZ8525;1,65 EUR;73,92
Бойлы pop-up;            CZ XXL Carp Boilies, 30mm, 500g, lobster-tigernut (омар-тигровый орех);433,000;CZ8921;1,65 EUR;73,92
Бойлы pop-up;            CZ XXL Carp Boilies, 30mm, 500g, squid-wild cherry (кальмар-дикая вишня);453,000;CZ8914;1,65 EUR;73,92
Бойлы pop-up;            CZ XXL Carp Boilies, 30mm, 500g, strawberry-liver (клубника-печень);384,000;CZ8907;1,65 EUR;73,92
Бойлы pop-up;            Fire Shot Hook Baits Boilie Honey 120g   (мед);26,000;CZ8160;0,90 EUR;40,32
Бойлы pop-up;            Fire Shot Hook Baits Boilie Monster Crab 120g  (гигантский краб);36,000;CZ8184;0,90 EUR;40,32
Бойлы pop-up;            Fire Shot Hook Baits Boilie Mussel 120g  (ракушка,мидия);;CZ8207;0,90 EUR;40,32
Бойлы pop-up;            Fire Shot Hook Baits Boilie Pineapple 120g (ананас);37,000;CZ8177;0,90 EUR;40,32
Бойлы pop-up;            Fire Shot Hook Baits Boilie Squid-Octopus 120g  (кальмар-осьминог);;CZ8191;0,90 EUR;40,32
Бойлы pop-up;            Fire Shot Hook Baits Boilie Strawberry 120g    (клубника);25,000;CZ8153;0,90 EUR;40,32
Бойлы pop-up;            CZ Carp Barrel, 20mm, 110g, banana-hemp (банан-конопляное семя);1 228,000;CZ8730;0,99 EUR;44,352
Бойлы pop-up;            CZ Carp Barrel, 20mm, 110g, mexicano (мексиканские специи);897,000;CZ8754;0,99 EUR;44,352
Бойлы pop-up;            CZ Carp Barrel, 20mm, 110g, pineapple-squid (ананас-кальмар);1 343,000;CZ8747;0,99 EUR;44,352
Бойлы pop-up;            CZ Carp Barrel, 20mm, 110g, robin red (перец-специи );977,000;CZ8716;0,99 EUR;44,352
Бойлы pop-up;            CZ Carp Barrel, 20mm, 110g, wild cherry (дикая черешня);855,000;CZ8723;0,99 EUR;44,352
Бойлы pop-up;            CZ Mega Barrel, 30mm, 230g, banana-hemp (банан-конопляное семя);1 429,000;CZ8792;0,99 EUR;44,352
Бойлы pop-up;            CZ Mega Barrel, 30mm, 230g, mexicano (мексиканские специи);1 428,000;CZ8815;0,99 EUR;44,352
Бойлы pop-up;            CZ Mega Barrel, 30mm, 230g, pineapple-squid (ананас-кальмар);1 455,000;CZ8808;0,99 EUR;44,352
Бойлы pop-up;            CZ Mega Barrel, 30mm, 230g, robin red (перец-специи );1 450,000;CZ8778;0,99 EUR;44,352
Бойлы pop-up;            CZ Mega Barrel, 30mm, 230g, strawberry-fish (клубника-рыба );1 392,000;CZ8761;0,99 EUR;44,352
Бойлы pop-up;            CZ Mega Barrel, 30mm, 230g, wild cherry (дикая черешня);1 412,000;CZ8785;0,99 EUR;44,352
Бойлы pop-up;            CZ Mini Boilies, Banana-Hemp, 150g 10мм. (банан-конопляное семя);;CZ2318;1,27 EUR;56,896
Бойлы pop-up;            CZ Mini Boilies, GLM, 150g 10мм. (зелено губая ракушка,мидия);;CZ2295;1,27 EUR;56,896
Бойлы pop-up;            CZ Mini Boilies, Honey, 150g 10мм. (мед);55,000;CZ2288;1,27 EUR;56,896
Бойлы pop-up;            CZ Mini Boilies, Pineapple-Squid, 150g 10мм. (ананас-кальмар);;CZ2271;1,27 EUR;56,896
Бойлы pop-up;            CZ Mini Boilies, Scopex-Tigernuts, 150g 10мм. (скопекс-тигровый орех);;CZ2301;1,27 EUR;56,896
Бойлы pop-up;            CZ Mini Boilies, Strawberry, 150g 10мм. (клубника);50,000;CZ2264;1,27 EUR;56,896
Бойлы pop-up;            CZ Mini Boilies, Sweat Corn, 150g 10мм.  (сладкая кукуруза);;CZ2257;1,27 EUR;56,896
Бойлы pop-up;            CZ Mini Boilies, Vanilla, 150g 10мм. (ваниль);;CZ4658;1,27 EUR;56,896
Бойлы pop-up;            Duo Hook Boilies, 16 mm, 110g, banana-liver (двухцветные бойлы, банан-печень);;CZ5303;1,52 EUR;68,096
Бойлы pop-up;            Duo Hook Boilies, 16 mm, 110g, Robin Red-Black Pepper (двухцветные бойлы, робин ред острые специи-черный перец);;CZ5259;1,52 EUR;68,096
Бойлы pop-up;            Duo Hook Boilies, 16&20mm, 110g, banana-liver (банан-печень);13,000;CZ9745;1,52 EUR;68,096
Бойлы pop-up;            Duo Hook Boilies, 16&20mm, 110g, choco-vanilla (шоколад-ваниль);;CZ9714;1,52 EUR;68,096
Бойлы pop-up;            Duo Hook Boilies, 16&20mm, 110g, hot spice-garlic (острые специи-чеснок);6,000;CZ9752;1,52 EUR;68,096
Бойлы pop-up;            Duo Hook Boilies, 16&20mm, 110g, pineapple-squid (ананас-кальмар);3,000;CZ9738;1,52 EUR;68,096
Бойлы pop-up;            Duo Hook Boilies, 16&20mm, 110g, plum-octopus  (слива-осьминог,кальмар);;CZ9721;1,52 EUR;68,096
Бойлы pop-up;            Duo Hook Boilies, 16&20mm, 110g, robin red-black pepper (робин ред острые специи-черный перец);;CZ9691;1,52 EUR;68,096
Бойлы pop-up;            Duo Hook Boilies, 16&20mm, 110g, strawberry-fish (клубника-рыба);;CZ9707;1,52 EUR;68,096
Бойлы pop-up;            CZ Balanced Boilie, GLM, 100g (зеленогубая мидия);528,000;CZ0369;1,12 EUR;50,176
Бойлы pop-up;            CZ Balanced Boilie, Hot Spicy, 100g (острые специи);516,000;CZ0376;1,12 EUR;50,176
Бойлы pop-up;            CZ Balanced Boilie, Pineapple-Squid, 100g (ананас-кальмар);313,000;CZ0352;1,12 EUR;50,176
