Воблеры;13594;Воблер FLAGMAN BUBLE CRANK 55F C18 8.8g 0-0.5m F;;;;2;2000016326017;2.46;;91
Воблеры;13595;Воблер FLAGMAN BUBLE CRANK 55F C08 8.8g 0-0.5m F;;;;1;2000016325010;2.46;;91
Воблеры;13596;Воблер FLAGMAN BUBLE CRANK 55F C20 8.8g 0-0.5m F;;;;1;2000016327014;2.46;;91
Воблеры;13597;Воблер FLAGMAN BUBLE CRANK 55F B30 8.8g 0-0.5m F;;;;1;2000016324013;2.46;;91
Воблеры;13598;Воблер FLAGMAN BUBLE CRANK 55F B13 8.8g 0-0.5m F;;;;3;2000016323016;2.46;;91
Воблеры;13599;Воблер FLAGMAN Pike Hunter 50мм 7.6г 0-1.5m F колір F06;;;;3;2000000135991;2.41;;89
Воблеры;13600;Воблер FLAGMAN Pike Hunter 50мм 7.6г 0-1.5m F колір С06;;;;3;2000015010016;2.41;;89
Воблеры;13601;Воблер FLAGMAN Pike Hunter 50мм 7.6г 0-1.5m F цвет M32;;;;3;2000016263015;2.41;;89
Воблеры;13602;Воблер FLAGMAN Pike Hunter 50мм 7.6г 0-1.5m F колір S61;;;;2;2000015011013;2.41;;89
Воблеры;13603;Воблер FLAGMAN Pike Hunter 50мм 7.6г 0-1.5m F цвет M39;;;;2;2000016264012;2.41;;89
Воблеры;13604;Воблер FLAGMAN Pike Hunter 50мм 7.6г 0-1.5m F колір A22;;;;2;2000015013017;2.41;;89
Воблеры;13605;Воблер FLAGMAN BULLET 45F C02 9080;;;;3;2000016332018;2.46;;91
Воблеры;13606;Воблер FLAGMAN BULLET 45F S03 9080;;;;3;2000016333015;2.46;;91
Воблеры;13607;Воблер FLAGMAN BULLET 45F A40 9080;;;;2;2000016330014;2.46;;91
Воблеры;13608;Воблер FLAGMAN Massive 50мм 9г 0-1.2m F колір L17;;;;3;2000015019019;2.37;;87
Воблеры;13609;Воблер FLAGMAN Big-JT 75мм 17г 2-5m F колір A22;;;;2;2000015042017;2.87;;106
Воблеры;13610;Воблер FLAGMAN Big-JT 75мм 17г 2-5m F колір  S13;;;;2;2000015043014;2.87;;106
Воблеры;13611;Воблер FLAGMAN Big-JT 75мм 17г 2-5m F колір 301;;;;2;2000015041010;2.87;;106
Воблеры;13612;Воблер FLAGMAN Big-JT 75мм 17г 2-5m F цвет E02;;;;1;2000016279016;2.87;;106
Воблеры;13613;Воблер FLAGMAN THUNDER MINNOW 80F C18 6gr 0-1m;;;;1;2000018370018;2.69;;99
Воблеры;13614;Воблер FLAGMAN FUROR MINNOW 80F S29 10g 0-1m F;;;;1;2000016348019;2.63;;97
Воблеры;13615;Воблер FLAGMAN PENCIL 80 SF C08 8.5g surface;;;;2;2000016360011;2.57;;95
Воблеры;13616;Воблер FLAGMAN PENCIL 80 SF C02 8.5g surface;;;;2;2000016359015;2.57;;95
Воблеры;13617;Воблер FLAGMAN H-minnow 80мм 10г 0-1.5m F цвет C02;;;;2;2000016280012;2.58;;95
Воблеры;13618;Воблер FLAGMAN H-minnow 80мм 10г 0-1.5m F колір A40;;;;2;2000015050012;2.58;;95
